collision,steps,turn_engagements,brake_engagements,final_x,final_y,seed,n_obstacles
False,60,1,0,52.35,24.88,0,5
False,60,1,0,52.22,-25.38,1,3
False,60,1,0,51.82,26.88,2,2
False,60,1,0,52.08,25.88,3,3
False,60,2,0,44.29,-35.55,4,3
False,60,1,0,52.22,-25.38,5,4
False,60,1,0,52.08,25.88,6,2
False,60,1,0,52.49,24.38,7,4
False,60,1,0,51.95,26.38,8,3
False,60,1,0,52.22,25.38,9,5
False,60,1,0,52.08,-25.88,10,2
False,60,1,0,52.35,-24.88,11,5
False,60,1,0,43.33,-36.8,12,5
False,60,1,0,57.68,-13.85,13,4
False,60,1,0,52.22,-25.38,14,2
False,60,1,0,51.68,-27.38,15,3
False,60,2,0,44.42,35.05,16,4
False,60,1,0,57.78,-13.07,17,5
False,60,1,0,43.04,37.5,18,3
False,60,1,0,43.92,-35.38,19,2
False,60,1,0,51.82,-26.88,20,3
False,60,1,0,52.08,25.88,21,3
False,60,1,0,43.04,-37.5,22,3
False,60,2,0,53.28,22.45,23,4
False,60,1,0,52.35,24.88,24,5
