step,x,y,heading_deg,ev_left,ev_right,state,action,brake_timer
0,1.0,0.0,0.0,0,0,0,FORWARD,0
1,2.0,0.0,0.0,0,0,0,FORWARD,0
2,3.0,0.0,0.0,0,0,0,FORWARD,0
3,4.0,0.0,0.0,1,0,0,FORWARD,0
4,5.0,0.0,0.0,1,0,0,FORWARD,0
5,6.0,0.0,0.0,1,0,0,FORWARD,0
6,6.482962913144534,-0.12940952255126045,-15.000000000000009,2,0,2,TURN_R,0
7,6.9159756150367535,-0.3794095225512606,-30.000000000000018,2,0,2,TURN_R,0
8,7.782001018821192,-0.8794095225512608,-30.000000000000018,0,0,0,FORWARD,0
9,8.64802642260563,-1.379409522551261,-30.000000000000018,0,0,0,FORWARD,0
10,9.51405182639007,-1.8794095225512613,-30.000000000000018,0,0,0,FORWARD,0
11,10.380077230174509,-2.3794095225512617,-30.000000000000018,0,0,0,FORWARD,0
12,11.246102633958948,-2.8794095225512617,-30.000000000000018,0,0,0,FORWARD,0
13,12.112128037743387,-3.3794095225512617,-30.000000000000018,0,0,0,FORWARD,0
14,12.978153441527827,-3.8794095225512617,-30.000000000000018,1,0,0,FORWARD,0
15,13.844178845312266,-4.379409522551262,-30.000000000000018,1,0,0,FORWARD,0
16,14.710204249096705,-4.879409522551262,-30.000000000000018,1,0,0,FORWARD,0
17,15.063757639689978,-5.232962913144536,-45.0,2,0,2,TURN_R,0
18,15.313757639689978,-5.665975615036755,-59.999999999999986,2,0,2,TURN_R,0
19,15.813757639689978,-6.532001018821194,-59.999999999999986,0,0,0,FORWARD,0
20,16.313757639689978,-7.398026422605632,-59.999999999999986,0,0,0,FORWARD,0
21,16.813757639689978,-8.264051826390071,-59.999999999999986,0,0,0,FORWARD,0
22,17.313757639689978,-9.13007723017451,-59.999999999999986,0,0,0,FORWARD,0
23,17.813757639689978,-9.99610263395895,-59.999999999999986,0,0,0,FORWARD,0
24,18.313757639689978,-10.862128037743389,-59.999999999999986,0,0,0,FORWARD,0
25,18.813757639689978,-11.728153441527828,-59.999999999999986,0,0,0,FORWARD,0
26,19.313757639689978,-12.594178845312268,-59.999999999999986,0,0,0,FORWARD,0
27,19.813757639689978,-13.460204249096707,-59.999999999999986,0,0,0,FORWARD,0
28,20.313757639689978,-14.326229652881146,-59.999999999999986,0,0,0,FORWARD,0
29,20.813757639689978,-15.192255056665585,-59.999999999999986,1,0,0,FORWARD,0
30,21.313757639689978,-16.058280460450025,-59.999999999999986,1,0,0,FORWARD,0
31,21.813757639689978,-16.924305864234462,-59.999999999999986,1,0,0,FORWARD,0
32,21.943167162241238,-17.407268777378995,-74.99999999999997,2,0,2,TURN_R,0
33,21.943167162241238,-17.907268777378995,-89.99999999999997,2,0,2,TURN_R,0
34,21.943167162241238,-18.907268777378995,-89.99999999999997,0,0,0,FORWARD,0
35,21.943167162241238,-19.907268777378995,-89.99999999999997,0,0,0,FORWARD,0
36,21.943167162241238,-20.907268777378995,-89.99999999999997,0,0,0,FORWARD,0
37,21.943167162241238,-21.907268777378995,-89.99999999999997,0,0,0,FORWARD,0
38,21.943167162241238,-22.907268777378995,-89.99999999999997,0,0,0,FORWARD,0
39,21.943167162241238,-23.907268777378995,-89.99999999999997,0,0,0,FORWARD,0
40,21.943167162241238,-24.907268777378995,-89.99999999999997,0,0,0,FORWARD,0
41,21.943167162241238,-25.907268777378995,-89.99999999999997,0,0,0,FORWARD,0
42,21.943167162241238,-26.907268777378995,-89.99999999999997,0,0,0,FORWARD,0
43,21.943167162241238,-27.907268777378995,-89.99999999999997,0,0,0,FORWARD,0
44,21.943167162241238,-28.907268777378995,-89.99999999999997,0,0,0,FORWARD,0
